timestamp,merchant,amount,city,state,pred_category,category
2019-06-30 23:58:00,fraud_ruecker beer and collier,7.86,East Troy,WI,shopping_net,shopping_net
2019-06-30 23:59:00,fraud_bahringer bergnaum and quitzon,108.99,Delhi,LA,home,home
2019-06-30 23:59:00,fraud_baumbach feeney and morar,890.66,Cromona,KY,shopping_net,shopping_net
2019-06-30 23:59:00,fraud_barton llc,30.87,Mc Nabb,IL,kids_pets,kids_pets
2019-07-01 00:00:00,fraud_dibbert and sons,4.3,Harmony,PA,entertainment,entertainment
2019-07-01 00:00:00,fraud_sporer inc,60.61,Harrodsburg,IN,gas_transport,gas_transport
2019-07-01 00:00:00,fraud_balistreri nader,34.48,Smock,PA,misc_pos,misc_pos
2019-07-01 00:00:00,fraud_robel cummerata and prosacco,61.82,Nobleboro,ME,gas_transport,gas_transport
2019-07-01 00:00:00,fraud_kling ernser,3.29,North Judson,IN,entertainment,entertainment
2019-07-01 00:01:00,fraud_dickinson rempel,40.45,Tuscarora,MD,misc_pos,misc_pos
2019-07-01 00:01:00,fraud_friesen stamm,51.25,Campbell,NE,gas_transport,gas_transport
2019-07-01 00:01:00,fraud_cummings llc,72.47,Skytop,PA,gas_transport,gas_transport
2019-07-01 00:01:00,fraud_dubuque llc,76.67,Karnack,TX,grocery_pos,grocery_pos
2019-07-01 00:02:00,fraud_dickinson ltd,6.22,Wilton,ND,misc_pos,misc_pos
2019-07-01 00:02:00,fraud_rowe vandervort,46.77,Roma,TX,grocery_net,grocery_net
2019-07-01 00:03:00,fraud_connelly reichert and fritsch,57.32,Rule,TX,gas_transport,gas_transport
2019-07-01 00:04:00,fraud_kuhn group,52.98,Winslow,AR,misc_net,food_dining
2019-07-01 00:05:00,fraud_schaefer mcglynn and bosco,80.08,Mesa,ID,gas_transport,gas_transport
2019-07-01 00:05:00,fraud_pacocha bauch,139.12,Bridger,MT,shopping_pos,shopping_pos
2019-07-01 00:06:00,fraud_streich dietrich and barton,102.16,Harper,TX,shopping_net,shopping_net
2019-07-01 00:07:00,fraud_cummerata jones,56.14,Riverton,WY,gas_transport,gas_transport
2019-07-01 00:07:00,fraud_kling inc,51.97,Pembroke Township,IL,gas_transport,gas_transport
2019-07-01 00:07:00,fraud_mraz herzog,45.48,Tallmansville,WV,gas_transport,gas_transport
